"","STNNBR","SAMPNO","CTDPRS","CTDTMP","CTDSAL","OXYGEN_mlperl","OXYGEN_umolperkg"
"1",7,433026,73.573,7.7953,8.0715,8.101,359.431981944829
"2",7,433027,60.329,8.0979,8.4302,8.457,375.155757301323
"3",7,433028,50.366,8.2845,8.6306,8.642,383.327104360147
"4",7,433029,40.211,8.3617,8.7139,NA,NA
"5",7,433030,30.726,8.3764,8.7205,8.75,388.129699167536
"6",7,433031,19.851,8.398,8.7375,NA,NA
"7",7,433032,9.672,8.3634,8.7238,8.788,389.852609659994
"8",7,433033,1.465,8.3262,8.7081,8.694,385.700973487065
"9",9,433034,169.704,4.4724,4.6295,4.724,210.029026174701
"10",9,433035,149.763,4.7666,4.951,5,222.267033558545
"11",9,433036,100.179,7.6647,7.993,7.997,354.790799374714
"12",9,433037,80.187,8.0285,8.3726,NA,NA
"13",9,433038,59.539,8.4178,8.7419,NA,NA
"14",9,433039,50.304,8.5121,8.854,8.893,394.400445867653
"15",9,433040,39.785,8.5848,8.9473,NA,NA
"16",9,433041,30.175,8.5299,8.8425,NA,NA
"17",9,433042,20.346,8.8139,9.099,NA,NA
"18",9,433043,9.892,8.435,8.7821,8.818,391.167877974929
"19",9,433044,1.267,8.344,8.7027,8.719,386.812669087544
"20",11,433045,322.043,2.7316,2.8035,2.878,128.042989744004
"21",11,433046,200.702,3.7362,3.8732,3.939,175.203585259724
"22",11,433047,150.38,5.714,5.9572,5.907,262.387880935223
"23",11,433048,100.477,7.3882,7.6868,7.703,341.820926099264
"24",11,433049,80.22,7.5949,7.9063,7.931,351.917757543239
"25",11,433050,60.007,7.9286,8.2544,8.279,367.305053042479
"26",11,433051,50.135,7.9751,8.2925,8.327,369.442381337709
"27",11,433052,39.972,7.9651,8.2961,NA,NA
"28",11,433053,29.671,8.0304,8.3672,NA,NA
"29",11,433054,20.401,8.0661,8.4067,NA,NA
"30",11,433055,9.666,8.1933,8.5515,8.483,376.366953515938
"31",11,433056,1.936,8.1983,8.5713,8.58,380.678803812268
"32",13,433057,462.771,3.1153,3.1972,3.301,146.715712699258
"33",13,433058,399.831,3.0476,3.143,3.22,143.16561959602
"34",13,433059,300.235,2.9936,3.0913,3.177,141.328389659189
"35",13,433060,199.996,4.2783,4.4592,4.472,198.821598127769
"36",13,433061,151.383,5.664,5.8912,5.911,262.577254508953
"37",13,433062,101.652,7.4357,7.7699,7.752,343.972373769806
"38",13,433063,81.552,7.8687,8.2003,8.263,366.571392276828
"39",13,433064,61.93,7.9192,8.2278,8.282,367.442113522209
"40",13,433065,51.425,7.9028,8.1912,8.453,375.057576249239
"41",13,433066,41.345,8.0278,8.3622,NA,NA
"42",13,433067,31.251,8.0648,8.4154,8.468,375.698652212917
"43",13,433068,21.009,8.1756,8.5119,NA,NA
"44",13,433069,11.53,8.2035,8.5369,8.655,383.999420317551
"45",13,433070,2.588,8.1934,8.5171,8.598,381.492155658789
"46",17,433071,468.844,3.2983,3.3975,3.52,156.420278739485
"47",17,433072,403.97,3.001,3.0927,3.197,142.14575841925
"48",17,433073,302.532,3.1041,3.2125,3.307,147.09567387011
"49",17,433074,201.354,4.2347,4.3894,4.57,203.188252873873
"50",17,433075,151.387,5.069,5.2579,5.336,237.14667257223
"51",17,433076,100.028,6.6105,6.8929,6.889,305.873167689426
"52",17,433077,80.348,7.1834,7.5044,7.433,329.913114451802
"53",17,433078,60.563,7.5694,7.9102,7.885,349.907501345535
"54",17,433079,50.623,7.7045,8.0339,NA,NA
"55",17,433080,40.259,7.9575,8.2869,8.329,369.549458758116
"56",17,433081,30.608,8.0675,8.4045,NA,NA
"57",17,433082,20.18,8.165,8.5332,8.589,381.05540620449
