"EXPOCODE","STNNBR","DATE","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
49,12,20190609,2019,53.5617,-55.6603,97.7,3.892,19.1646889202011,19.1640275608678,1.9783440476484,3.6620791039707,FALSE
56,12,20190609,2019,53.5617,-55.6603,20.3,3.904,18.9534607719062,18.9493044594088,1.98733277505987,3.67361325115969,FALSE
59,12,20190609,2019,53.5617,-55.6603,3.7,3.938,18.939571079058,18.9377661418976,1.98800781278373,3.80246953020451,FALSE
60,15,20190610,2019,53.6775,-55.5528,145.9,3.34,18.6836456436798,18.6596594521227,1.99844981609885,1.7997568959252,FALSE
61,15,20190610,2019,53.6775,-55.5528,123.5,3.391,18.8353881263126,18.8309114364496,1.99244410028759,1.9559586046204,FALSE
64,15,20190610,2019,53.6775,-55.5528,100.4,3.579,19.3907235876639,19.3906654967007,1.96871576243891,2.5930153257377,FALSE
69,15,20190610,2019,53.6775,-55.5528,49.2,3.386,18.5891242926412,18.5886438896125,2.00333463337952,1.91176351605174,FALSE
74,15,20190610,2019,53.6775,-55.5528,19.7,3.776,19.6122745386149,19.6116588522346,1.95933051995546,3.3002879997253,FALSE
79,15,20190610,2019,53.6775,-55.5528,3.4,3.974,18.9254042408662,18.9245066239981,1.98864982885367,3.94161530207075,FALSE
80,19,20190610,2019,53.7937,-55.4368,195.1,3.338,18.7596474562559,18.7582188572496,1.99583875322272,1.80139681235074,FALSE
82,19,20190610,2019,53.7937,-55.4368,148.8,3.304,18.5395633913043,18.5377289958202,2.00547217097548,1.68617452275113,FALSE
86,19,20190610,2019,53.7937,-55.4368,100.2,3.567,18.9657892529923,18.9633025285247,1.98685197154506,2.49686779183002,FALSE
91,19,20190610,2019,53.7937,-55.4368,50.1,3.552,19.332147861835,19.3306857762114,1.97116297268437,2.49904570693211,FALSE
102,23,20190610,2019,53.9868,-55.2517,137.9,3.296,18.5108448711482,18.5073503843528,2.00668533684277,1.66233230063224,FALSE
103,23,20190610,2019,53.9868,-55.2517,139.4,3.342,18.685134396756,18.6850099586311,1.99913551811257,1.8032850167148,FALSE
105,23,20190610,2019,53.9868,-55.2517,100.3,3.25,18.3975070580133,18.380830020965,2.01127935215172,1.53442884340567,FALSE
108,23,20190610,2019,53.9868,-55.2517,49.5,3.368,18.7631020720942,18.7586778041532,1.99559384303371,1.88349865967898,FALSE
111,23,20190610,2019,53.9868,-55.2517,20,3.794,19.3988575412034,19.396923382779,1.96831146041695,3.33313864356488,FALSE
114,23,20190610,2019,53.9868,-55.2517,3.6,3.747,19.3701324831779,19.3700562250216,1.96959024826746,3.15918542555394,FALSE
115,27,20190610,2019,54.2192,-55.0242,159.5,3.527,19.2772543518359,19.2739349989983,1.9734448815153,2.41353350617002,FALSE
116,27,20190610,2019,54.2192,-55.0242,140.9,3.441,18.9994670049411,18.9972393380083,1.98540477999638,2.11875744449738,FALSE
119,27,20190610,2019,54.2192,-55.0242,99.8,3.49,19.154988631382,19.1501813514553,1.97862992637905,2.284239499437,FALSE
124,27,20190610,2019,54.2192,-55.0242,50.7,3.744,19.3516136505298,19.3473345685342,1.97024602938232,3.14620314828199,FALSE
159,54,20190611,2019,55.6127,-53.6402,2934,1.819,19.1718236113899,14.360849578866,1.81899999909574,8.17680525983219e-19,TRUE
160,54,20190611,2019,55.6127,-53.6402,2881.1,1.764,19.8190747873808,14.1979470797479,1.7639999989623,1.07683081387449e-18,TRUE
161,54,20190611,2019,55.6127,-53.6402,2800,1.572,22.2653065742355,13.8319531888599,1.57199999910495,8.01109793744606e-19,TRUE
163,54,20190611,2019,55.6127,-53.6402,2520.6,1.234,26.3624620434122,11.9244464851474,1.23399999923459,5.85853083070793e-19,TRUE
164,54,20190611,2019,55.6127,-53.6402,2422.1,1.178,27.0740448079411,11.5689984474438,1.17800002363403,5.58567387671946e-16,TRUE
165,54,20190611,2019,55.6127,-53.6402,2269.6,1.124,27.767552765839,11.2129594927094,1.12400000151227,2.28695342843055e-18,TRUE
166,54,20190611,2019,55.6127,-53.6402,2000.2,1.062,28.5722966730319,10.787617110192,1.06199999932661,4.53458292775683e-19,TRUE
167,54,20190611,2019,55.6127,-53.6402,1849.1,1.417,24.0966934767737,12.9960939688963,1.4169999875868,1.54087556871985e-16,TRUE
170,54,20190611,2019,55.6127,-53.6402,1379.4,1.903,18.1879639780933,14.5825033811725,1.902999999257,5.52042888154676e-19,TRUE
171,54,20190611,2019,55.6127,-53.6402,1179.4,2.051,16.4495601908252,14.8640896287174,2.05099999941032,3.47723385357834e-19,TRUE
172,54,20190611,2019,55.6127,-53.6402,990.1,1.88,18.4569084462867,14.5250296607064,1.87999999922099,6.06856183739035e-19,TRUE
173,54,20190611,2019,55.6127,-53.6402,809.3,2.331,16.3453407313568,16.3448986433842,2.10693249650577,0.0502062461221356,FALSE
174,54,20190611,2019,55.6127,-53.6402,640.5,2.454,15.5231125749191,15.522137153047,2.14758388404069,0.0938908361195875,FALSE
176,54,20190611,2019,55.6127,-53.6402,349.4,2.577,15.6582155872765,15.6520367542262,2.14062956624678,0.190419155453969,FALSE
