"cruise_number","event","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
1,"16",2015,56.1098,-53.1173,3369.873,1.88,14.3630910983554,14.3627283893208,1.84587157885771,0.00116474912966518,FALSE
2,"16",2015,56.1098,-53.1173,3292.068,1.75,15.5806355774168,14.1299309345,1.75000000146757,2.15377036959436e-18,TRUE
3,"16",2015,56.1098,-53.1173,3218.816,1.6,17.6195491775354,13.9197586940718,1.59999999863433,1.86506370486204e-18,TRUE
4,"16",2015,56.1098,-53.1173,3119.243,1.41,20.6470521869964,14.2919546796334,1.40999999933761,4.38755700482787e-19,TRUE
5,"16",2015,56.1098,-53.1173,3000.115,1.22,23.2361270577347,13.3542641478757,1.21999999564484,1.89674129139949e-17,TRUE
6,"16",2015,56.1098,-53.1173,2859.397,1.13,24.4900190229861,12.8604890482446,1.12999999916617,6.95275624819552e-19,TRUE
7,"16",2015,56.1098,-53.1173,2700.83,0.88,28.0091481385314,11.1883841105063,0.879999999564032,1.90068034615125e-19,TRUE
8,"16",2015,56.1098,-53.1173,2518.82,1.06,25.4726037337285,12.4413018181454,1.05999999936725,4.00368441902583e-19,TRUE
9,"16",2015,56.1098,-53.1173,2318.751,1.15,24.2103006781348,12.9742454585214,1.1499999989528,1.09662573342472e-18,TRUE
10,"16",2015,56.1098,-53.1173,2101.96,1.23,23.0976720185819,13.406506134253,1.22999999443413,3.09789457897103e-17,TRUE
11,"16",2015,56.1098,-53.1173,1879.664,1.24,22.9594162595287,13.4582959636189,1.23999999287029,5.08326940796001e-17,TRUE
12,"16",2015,56.1098,-53.1173,1620.354,2.13,16.0942548298205,16.0936176394682,1.7691592668407,0.130206034706942,FALSE
13,"16",2015,56.1098,-53.1173,1399.255,2.21,15.5959819640859,15.5942064722013,1.79054725415837,0.175940605994084,FALSE
14,"16",2015,56.1098,-53.1173,1180.636,2.47,15.33790665293,15.337328236617,1.80187866532764,0.446386117844371,FALSE
15,"16",2015,56.1098,-53.1173,961.763,2.59,15.8759395374109,15.8755391687094,1.77848816004801,0.658551466382266,FALSE
16,"16",2015,56.1098,-53.1173,762.25,2.42,15.2722696186563,15.2497610565984,1.80415745807391,0.37926203644599,FALSE
17,"16",2015,56.1098,-53.1173,581.088,2.37,14.6894752684102,14.6889352293699,1.83090226999699,0.290626362494394,FALSE
18,"16",2015,56.1098,-53.1173,430.408,2.46,15.288298835597,15.2873956734972,1.80405746000812,0.430260615771005,FALSE
19,"16",2015,56.1098,-53.1173,311.218,2.42,15.2722696186563,15.2497610565984,1.80415745807391,0.37926203644599,FALSE
20,"16",2015,56.1098,-53.1173,201.265,2.51,15.4973322733262,15.4933253761496,1.7947864040735,0.511530487798118,FALSE
21,"16",2015,56.1098,-53.1173,100.338,2.43,15.1683059871263,15.1677510390804,1.80938141694385,0.385167425634628,FALSE
22,"16",2015,56.1098,-53.1173,51.281,2.73,16.2194514512566,16.2191731126224,1.76386682009541,0.933413321312548,FALSE
23,"16",2015,56.1098,-53.1173,24.374,2.9,16.6146855890721,16.6133538660761,1.74730166583499,1.32871344958678,FALSE
24,"16",2015,56.1098,-53.1173,2.305,2.84,16.4802084864856,16.4799663033705,1.75292397996895,1.18173427332656,FALSE
25,"23",2015,56.5398,-52.6788,3542.453,1.83,14.5478856153233,14.2863288212129,1.83000000004128,1.7037159073436e-21,TRUE
26,"23",2015,56.5398,-52.6788,3432.243,1.71,16.1256106522595,14.0995896958617,1.70999999864646,1.83208120724028e-18,TRUE
27,"23",2015,56.5398,-52.6788,3380.117,1.68,16.5278012511615,14.0498537957885,1.67999999857643,2.02654312313936e-18,TRUE
28,"23",2015,56.5398,-52.6788,3278.844,1.21,23.3747745482404,13.3015500009338,1.20999999657746,1.17137863308776e-17,TRUE
