"EXPOCODE","STNNBR","DATE","LATITUDE","LONGITUDE","CTDPRS","CTDTMP","CTDSAL","SALNTY","OXYGEN","OXYGEN_FLAG_W","SF6","SF6_FLAG_W","CFC12","CFC12_FLAG_W"
"18DL20200722",36,20200729,54.48928,-54.76146,"150.765","0.1993","33.6002","-999","-999",9,"3.867",2,"2.69",2
"18DL20200722",36,20200729,54.48884,-54.76114,"99.762","-0.5534","33.3092","33.312","321.7",2,"3.612",2,"2.895",2
"18DL20200722",36,20200729,54.48814,-54.76058,"49.511","-0.4878","32.9366","-999","-999",9,"3.821",2,"2.903",2
"18DL20200722",36,20200729,54.4876,-54.76014,"19.858","3.2348","32.3077","-999","-999",9,"3.86",2,"2.81",2
"18DL20200722",36,20200729,54.48697,-54.75944,"3.165","9.731","31.2369","31.2423","305.4",2,"3.257",2,"2.133",2
"18DL20200722",40,20200729,53.9874,-55.24948,"141.335","-0.3765","33.41","33.4091","321.9",2,"3.567",2,"2.79",2
"18DL20200722",40,20200729,53.98654,-55.2499,"100.017","-0.7539","32.9012","32.9049","337.2",2,"3.374",2,"2.86",2
"18DL20200722",40,20200729,53.9858,-55.25005,"50.186","-0.992","32.5057","-999","-999",9,"3.823",2,"3.049",2
"18DL20200722",40,20200729,53.9847,-55.25036,"20.423","-0.6603","32.353","-999","-999",9,"3.813",2,"3.061",2
"18DL20200722",40,20200729,53.98424,-55.25065,"3.274","5.4333","31.2408","31.1577","356.3",2,"3.366",2,"2.526",2
"18DL20200722",44,20200729,53.6616,-55.5503,"136.687","-0.7989","32.9311","32.9298","329",2,"3.594",2,"2.991",2
"18DL20200722",44,20200729,53.66068,-55.54988,"99.991","-0.9072","32.8249","32.8341","334",2,"3.63",2,"2.963",2
"18DL20200722",44,20200729,53.65866,-55.54954,"49.709","-0.9173","32.5392","-999","-999",9,"3.735",2,"2.981",2
"18DL20200722",44,20200729,53.65698,-55.54942,"19.871","1.1772","32.1493","-999","-999",9,"3.61",2,"2.934",2
"18DL20200722",44,20200729,53.65605,-55.54946,"2.943","6.7566","31.2932","31.2081","346",2,"3.343",2,"2.508",2
"18DL20200722",48,20200729,53.79826,-55.43444,"194.937","0.1627","33.6453","33.6409","13.1",4,"3.505",2,"2.687",2
"18DL20200722",48,20200729,53.79774,-55.43536,"150.34","-0.4974","33.2939","-999","-999",9,"3.465",2,"2.78",2
"18DL20200722",48,20200729,53.79726,-55.436,"99.576","-0.8708","32.9308","32.9362","222.1",3,"3.689",2,"2.902",2
"18DL20200722",48,20200729,53.79636,-55.43648,"49.659","-0.9018","32.5205","-999","-999",9,"3.761",2,"3.024",2
"18DL20200722",48,20200729,53.79552,-55.43714,"20.051","-0.5077","32.3207","-999","-999",9,"3.867",2,"3.043",2
"18DL20200722",48,20200729,53.79496,-55.4377,"3.289","9.733","30.2473","30.2619","314.8",2,"3.097",2,"2.181",2
"18DL20200722",49,20200729,54.22126,-55.02319,"158.33","1.0574","33.9408","33.9191","302.7",2,"3.34",2,"2.574",2
"18DL20200722",49,20200729,54.22114,-55.02342,"140.458","0.4664","33.7671","-999","-999",9,"3.001",2,"2.426",2
"18DL20200722",49,20200729,54.2208,-55.02366,"100.551","-0.3828","33.4437","33.4629","320.2",2,"3.477",2,"2.807",2
"18DL20200722",49,20200729,54.22024,-55.02406,"50.485","-0.5275","32.9926","-999","-999",9,"3.565",2,"2.903",2
"18DL20200722",49,20200729,54.21982,-55.02416,"20.165","1.9908","32.67","-999","-999",9,"3.43",2,"2.841",2
"18DL20200722",49,20200729,54.21966,-55.02464,"3.251","10.7615","31.5983","31.6005","292.9",2,"2.971",2,"2.035",2
"18DL20200722",53,20200730,54.76152,-54.48672,"235.037","2.3568","34.2668","34.268","293.9",2,"3.155",2,"2.454",2
"18DL20200722",53,20200730,54.7614,-54.48672,"199.877","1.5476","34.0507","-999","-999",9,"3.162",2,"2.542",2
"18DL20200722",53,20200730,54.76132,-54.48672,"150.022","0.4872","33.6715","-999","-999",9,"3.275",2,"2.693",2
"18DL20200722",53,20200730,54.76116,-54.48646,"100.611","-0.5809","33.2791","33.286","321.4",2,"3.397",2,"2.811",2
"18DL20200722",53,20200730,54.76066,-54.48724,"49.496","-0.8553","32.8359","-999","-999",9,"3.536",2,"3.001",2
"18DL20200722",53,20200730,54.7604,-54.4876,"30.025","-0.3973","32.6227","32.6383","387.5",2,"3.613",2,"2.98",2
"18DL20200722",53,20200730,54.76028,-54.48783,"20.042","0.4717","32.5484","-999","-999",9,"3.655",2,"2.947",2
"18DL20200722",53,20200730,54.76013,-54.48776,"3.241","9.2097","31.4667","31.4823","315.2",2,"2.971",2,"2.185",2
"18DL20200722",57,20200730,54.95488,-54.29246,"358.851","3.5019","34.6034","34.6037","136.2",4,"3.154",2,"2.249",2
"18DL20200722",57,20200730,54.95572,-54.29164,"249.836","2.7874","34.3783","-999","-999",9,"3.375",2,"2.413",2
"18DL20200722",57,20200730,54.95598,-54.29088,"200.161","2.1002","34.1196","-999","-999",9,"3.507",2,"2.548",2
"18DL20200722",57,20200730,54.95596,-54.2899,"150.835","0.8424","33.7917","33.7929","308.1",2,"3.631",2,"2.684",2
"18DL20200722",57,20200730,54.95584,-54.2891,"99.425","-0.2273","33.4741","-999","-999",9,"3.779",2,"2.765",2
"18DL20200722",57,20200730,54.95602,-54.28876,"49.797","-0.7825","33.0405","-999","-999",9,"3.891",2,"2.929",2
"18DL20200722",57,20200730,54.95604,-54.28854,"20.345","-0.3168","32.645","-999","-999",9,"4.087",2,"2.998",2
"18DL20200722",57,20200730,54.9562,-54.28832,"3.585","7.8243","31.6627","31.6537","332.2",2,"3.593",2,"2.453",2
"18DL20200722",61,20200730,55.10462,-54.12906,"909.313","3.5091","34.8506","34.8516","293.4",2,"2.743",2,"2.179",2
"18DL20200722",61,20200730,55.10448,-54.12784,"859.055","3.5111","34.8497","-999","-999",9,"2.976",2,"2.229",2
"18DL20200722",61,20200730,55.10358,-54.12636,"788.588","3.5258","34.8462","-999","-999",9,"2.797",2,"2.268",2
"18DL20200722",61,20200730,55.1032,-54.12552,"702.187","3.5215","34.8401","-999","-999",9,"2.917",2,"2.256",2
"18DL20200722",61,20200730,55.1026,-54.1251,"599.713","3.5209","34.8287","-999","-999",9,"2.81",2,"2.221",2
"18DL20200722",61,20200730,55.10182,-54.12458,"500.018","3.5667","34.8216","34.8222","6.8",4,"2.968",2,"2.25",2
"18DL20200722",61,20200730,55.10106,-54.12394,"400.472","3.6036","34.8062","-999","-999",9,"2.979",2,"2.261",2
"18DL20200722",61,20200730,55.10026,-54.12296,"300.499","3.6591","34.7739","-999","-999",9,"3.219",2,"2.252",2
"18DL20200722",61,20200730,55.09942,-54.12164,"200.505","3.6747","34.6723","-999","-999",9,"3.299",2,"2.286",2
"18DL20200722",61,20200730,55.09804,-54.11942,"99.928","3.5665","34.4437","-999","-999",9,"3.588",2,"2.456",2
"18DL20200722",61,20200730,55.09626,-54.11684,"49.394","2.5622","34.0125","-999","-999",9,"3.629",2,"2.555",2
"18DL20200722",61,20200730,55.09475,-54.11465,"19.587","1.7162","33.2829","-999","-999",9,"3.831",2,"2.839",2
"18DL20200722",61,20200730,55.0942,-54.11396,"9.503","4.2822","32.6166","32.5804","-999",9,"3.763",2,"2.72",2
"18DL20200722",61,20200730,55.0936,-54.11322,"2.772","7.3996","32.41","32.3338","350.4",2,"3.407",2,"2.457",2
"18DL20200722",66,20200730,55.25916,-53.99368,"2019.013","2.9296","34.916","34.9159","282.6",2,"1.533",2,"1.67",2
