,cruise_number,event,station,date,sample_id,eventLatitude,eventLongitude,PrDM,T090C,Sal00,TIC..umol.kg.1.,TIC.Flag,TA..umol.kg.1.,TA.Flag,flag,S,T,Patm,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite,dist,pH out,fCO2 out (matm),pCO2 out (matm)
32, LAT2025146,10,AR7W_11," ""May 02 2025""",515594,55.6117,-53.6325,2943.687,1.8068,34.8888,2174.553897,,2309.209281,,15,34.8888,1.8068,1,2943.687,7.244415923,9.586725942,163346626,3.90E-18,133882067,1.70E-10,10456068684,2.77797E+15,2020.725212,144.2419587,2174.553897,2309.209281,54148.66532,60009.64949,247.745682,7.941,358.5,360.0
33, LAT2025146,10,AR7W_11," ""May 02 2025""",515595,55.6117,-53.6325,2878.547,1.833,34.8894,2175.258418,,2309.237608,,15,34.8894,1.833,1,2878.547,7.264747133,9.597037502,163685273.3,3.09E-18,134775449,1.03E-10,9552771945,1.91703E+15,2022.085303,143.5760774,2175.258418,2309.237608,55905.40217,62453.40033,247.745682,7.941,361.0,362.5
34, LAT2025146,10,AR7W_11," ""May 02 2025""",515596,55.6117,-53.6325,2805.527,1.9903,34.8932,2174.453252,,2309.633082,,15,34.8932,1.9903,1,2805.527,7.293062389,9.454817254,162225518.4,9.53E-18,134259410.2,1.55E-10,8520278323,1.22348E+15,2020.363937,144.6344973,2174.453252,2309.633082,58931.67813,66428.7712,247.745682,7.945,361.1,362.7
35, LAT2025146,10,AR7W_11," ""May 02 2025""",515597,55.6117,-53.6325,2688.292,2.3016,34.901,2172.339689,,2308.323557,,15,34.901,2.3016,1,2688.292,7.339186386,9.135882967,158609936,1.41E-16,132384510.3,5.71E-10,7029333111,5.86212E+14,2018.084205,145.1196011,2172.339689,2308.323557,64063.52171,73262.47465,247.745682,7.947,364.7,366.3
36, LAT2025146,10,AR7W_11," ""May 02 2025""",515598,55.6117,-53.6325,2556.154,2.5757,34.9115,2171.131939,,2312.600111,,15,34.9115,2.5757,1,2556.154,7.398467859,8.752458246,153532530.9,5.16E-15,129439837.9,3.85E-09,5627207901,2.5852E+14,2012.159002,150.220479,2171.131939,2312.600111,73162.31541,85033.23045,247.745682,7.962,357.7,359.2
37, LAT2025146,10,AR7W_11," ""May 02 2025""",515599,55.6117,-53.6325,2419.25,2.7405,34.9158,2170.427418,,2310.419148,,15,34.9158,2.7405,1,2419.25,7.439049012,8.854974376,156294111.3,8.53E-16,133207736.4,4.74E-10,4713899561,1.19196E+14,2012.725887,148.8465566,2170.427418,2310.419148,80855.90155,95560.59056,247.745682,7.961,364.3,365.8
38, LAT2025146,10,AR7W_11," ""May 02 2025""",515600,55.6117,-53.6325,2265.977,2.9292,34.9203,2171.433876,,2309.636631,,15,34.9203,2.9292,1,2265.977,7.483108306,9.032677159,160559530.7,4.85E-17,138554169.2,2.13E-11,3894000718,5.05894E+13,2015.16591,147.2352887,2171.433876,2309.636631,91397.18576,110058.3336,247.745682,7.959,372.7,374.2
39, LAT2025146,10,AR7W_11," ""May 02 2025""",515601,55.6117,-53.6325,2107.599,3.0222,34.9178,2169.622251,,2308.066903,,15,34.9178,3.0222,1,2107.599,7.535779902,9.094332684,162212751.5,1.58E-17,141828927.4,3.17E-12,3145030898,2.08519E+13,2012.989074,147.5388445,2169.622251,2308.066903,106144.7211,130309.8839,247.745682,7.965,374.1,375.7
40, LAT2025146,10,AR7W_11," ""May 02 2025""",515602,55.6117,-53.6325,1941.062,3.1707,34.9177,2169.833423,,2302.235209,,15,34.9177,3.1707,1,1941.062,7.571044709,9.652359138,173116853.8,5.80E-21,153460683.6,1.77E-15,2651575163,8.63439E+12,2018.127051,142.0540127,2169.833423,2302.235209,121035.9895,151636.0742,247.745682,7.953,392.1,393.7
41, LAT2025146,10,AR7W_11," ""May 02 2025""",515603,55.6117,-53.6325,1759.953,3.3216,34.9139,2169.230245,,2307.594572,,15,34.9139,3.3216,1,1759.953,7.646494606,9.438417266,170223646.8,5.50E-20,153153422,2.75E-15,2018446663,3.04619E+12,2011.989215,147.8026128,2169.230245,2307.594572,153579.6871,196695.0676,247.745682,7.974,381.4,383.0
42, LAT2025146,10,AR7W_11," ""May 02 2025""",515604,55.6117,-53.6325,1565.617,3.4333,34.9057,2172.547725,,2308.067938,,15,34.9057,3.4333,1,1565.617,7.699442982,9.938849981,179980981,3.40E-23,164486188.1,1.17E-18,1622729567,1.08138E+12,2017.149936,145.4589387,2172.547725,2308.067938,189939.1405,249082.3223,247.745682,7.972,392.1,393.7
43, LAT2025146,10,AR7W_11," ""May 02 2025""",515605,55.6117,-53.6325,1380.091,3.5157,34.8954,2170.235542,,2307.997091,,15,34.8954,3.5157,1,1380.091,7.765528657,10.07317616,182957151.9,3.38E-24,169640363.1,3.24E-20,1270422409,3.89539E+11,2012.327761,147.8346049,2170.235542,2307.997091,243815.1235,327032.2031,247.745682,7.984,388.6,390.3
44, LAT2025146,10,AR7W_11," ""May 02 2025""",515606,55.6117,-53.6325,1178.509,3.6122,34.8922,2173.050374,,2307.961214,,15,34.8922,3.6122,1,1178.509,7.820361584,10.72692748,195520588.8,1.13E-28,184014283.8,5.63E-25,1022381898,1.35067E+11,2016.685791,145.637655,2173.050374,2307.961214,315081.8213,433100.5464,247.745682,7.983,399.3,400.9
45, LAT2025146,10,AR7W_11," ""May 02 2025""",515607,55.6117,-53.6325,987.838,3.7395,34.8887,2174.256731,,2309.749683,,15,34.8887,3.7395,1,987.838,7.881270537,11.16616627,204476402.5,5.03E-32,194989339,7.99E-29,817624129.1,48710870157,2016.431553,146.6590115,2174.256731,2309.749683,417346.0453,587089.7281,247.745682,7.990,401.7,403.4
46, LAT2025146,10,AR7W_11," ""May 02 2025""",515608,55.6117,-53.6325,746.092,3.8436,34.8797,2174.759379,,2307.312016,,15,34.8797,3.8436,1,746.092,7.948558601,12.12079903,222794701,2.12E-39,215707925,8.84E-37,634371376.2,13854909856,2017.965241,144.6733386,2174.759379,2307.312016,595536.1576,862694.8766,247.745682,7.990,412.6,414.4
