"decyear","sf6$GML_NH_SF6"
1995,3.531
1995.08333333333,3.47
1995.16666666667,3.51
1995.25,3.552
1995.33333333333,3.566
1995.41666666667,3.61
1995.5,3.58
1995.58333333333,3.644
1995.66666666667,3.669
1995.75,3.636
1995.83333333333,3.662
1995.91666666667,3.707
1996,3.737
1996.08333333333,3.741
1996.16666666667,3.815
1996.25,3.847
1996.33333333333,3.811
1996.41666666667,3.802
1996.5,3.832
1996.58333333333,3.856
1996.66666666667,3.848
1996.75,3.866
1996.83333333333,3.877
1996.91666666667,3.914
1997,3.951
1997.08333333333,3.983
1997.16666666667,3.981
1997.25,4.007
1997.33333333333,4.069
1997.41666666667,4.115
1997.5,4.148
1997.58333333333,4.123
1997.66666666667,4.162
1997.75,4.167
1997.83333333333,4.185
1997.91666666667,4.23
1998,4.247
1998.08333333333,4.252
1998.16666666667,4.26
1998.25,4.278
1998.33333333333,4.306
1998.41666666667,4.339
1998.5,4.332
1998.58333333333,4.316
1998.66666666667,4.344
1998.75,4.373
1998.83333333333,4.387
1998.91666666667,4.397
1999,4.421
1999.08333333333,4.43
1999.16666666667,4.443
1999.25,4.452
1999.33333333333,4.468
1999.41666666667,4.479
1999.5,4.49
1999.58333333333,4.488
1999.66666666667,4.501
1999.75,4.518
1999.83333333333,4.546
1999.91666666667,4.579
2000,4.614
2000.08333333333,4.619
2000.16666666667,4.621
2000.25,4.647
2000.33333333333,4.669
2000.41666666667,4.685
2000.5,4.695
2000.58333333333,4.708
2000.66666666667,4.714
2000.75,4.74
2000.83333333333,4.76
2000.91666666667,4.784
2001,4.802
2001.08333333333,4.818
2001.16666666667,4.828
2001.25,4.857
2001.33333333333,4.886
2001.41666666667,4.901
2001.5,4.902
2001.58333333333,4.9
2001.66666666667,4.911
2001.75,4.942
2001.83333333333,4.965
2001.91666666667,4.994
2002,5.017
2002.08333333333,5.031
2002.16666666667,5.053
2002.25,5.067
2002.33333333333,5.094
2002.41666666667,5.11
2002.5,5.122
2002.58333333333,5.122
2002.66666666667,5.125
2002.75,5.151
2002.83333333333,5.18
2002.91666666667,5.213
2003,5.234
2003.08333333333,5.253
2003.16666666667,5.272
2003.25,5.296
2003.33333333333,5.326
2003.41666666667,5.358
2003.5,5.37
2003.58333333333,5.373
2003.66666666667,5.388
2003.75,5.41
2003.83333333333,5.431
2003.91666666667,5.463
2004,5.477
2004.08333333333,5.491
2004.16666666667,5.507
2004.25,5.538
2004.33333333333,5.554
2004.41666666667,5.574
2004.5,5.583
2004.58333333333,5.595
2004.66666666667,5.597
2004.75,5.607
2004.83333333333,5.642
2004.91666666667,5.686
2005,5.694
2005.08333333333,5.7
2005.16666666667,5.728
2005.25,5.762
2005.33333333333,5.772
2005.41666666667,5.789
2005.5,5.81
