"EXPOCODE","STNNBR","DATE","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
49,12,20190609,2019,53.5617,-55.6603,97.7,3.892,18.4642061267969,18.4623798572954,2.17966474027916,2.93209204168323,FALSE
56,12,20190609,2019,53.5617,-55.6603,20.3,3.904,18.6471024463239,18.6468558575185,2.12987215311715,3.14752961708517,FALSE
59,12,20190609,2019,53.5617,-55.6603,3.7,3.938,18.8376037823039,18.8370283893052,1.9983082403692,3.76240412237964,FALSE
60,15,20190610,2019,53.6775,-55.5528,145.9,3.34,17.4010150607893,17.4006759367537,2.18306605575215,1.33849615135288,FALSE
61,15,20190610,2019,53.6775,-55.5528,123.5,3.391,17.4315212196122,17.4268162454955,2.18700316681474,1.44960837432013,FALSE
64,15,20190610,2019,53.6775,-55.5528,100.4,3.579,18.0744076088295,18.0722296170351,2.16363712682382,2.00325206276553,FALSE
69,15,20190610,2019,53.6775,-55.5528,49.2,3.386,17.1659167849676,17.1655625335912,2.24626242643223,1.29900173660214,FALSE
74,15,20190610,2019,53.6775,-55.5528,19.7,3.776,18.6095547165208,18.6094296931298,2.06193625588156,2.93801451890134,FALSE
79,15,20190610,2019,53.6775,-55.5528,3.4,3.974,18.5306702519691,18.5301890331008,2.20434901706784,3.13166460139275,FALSE
80,19,20190610,2019,53.7937,-55.4368,195.1,3.338,17.8634253232161,17.8320288844816,2.07320855306184,1.59969740424791,FALSE
82,19,20190610,2019,53.7937,-55.4368,148.8,3.304,17.3532854265445,17.3497699133096,2.17320641068708,1.27869414163119,FALSE
86,19,20190610,2019,53.7937,-55.4368,100.2,3.567,17.8488471627146,17.8487226362261,2.18249254076541,1.91686090467623,FALSE
91,19,20190610,2019,53.7937,-55.4368,50.1,3.552,17.9871051406777,17.9866804262303,2.18120670508034,1.87907425739671,FALSE
102,23,20190610,2019,53.9868,-55.2517,137.9,3.296,17.7914386741458,17.7907898993911,2.05466486097477,1.5409129273788,FALSE
103,23,20190610,2019,53.9868,-55.2517,139.4,3.342,17.9133289737222,17.9124860655162,2.02751980864278,1.7278581734705,FALSE
105,23,20190610,2019,53.9868,-55.2517,100.3,3.25,17.1885270859879,17.1878177831483,2.15755968734326,1.19342583671755,FALSE
108,23,20190610,2019,53.9868,-55.2517,49.5,3.368,17.3983509993743,17.3970610103103,2.17772281099232,1.41675978667203,FALSE
111,23,20190610,2019,53.9868,-55.2517,20,3.794,18.7328362540023,18.7281832914666,1.9754252193886,3.30721423267579,FALSE
