"EXPOCODE","STNNBR","DATE","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
49,12,20190609,2019,53.5617,-55.6603,97.7,3.892,18.9511691851639,18.949821630784,1.98752020108041,3.62704330449281,FALSE
56,12,20190609,2019,53.5617,-55.6603,20.3,3.904,18.9634036871033,18.9455567041595,1.98647234393902,3.67691231175871,FALSE
59,12,20190609,2019,53.5617,-55.6603,3.7,3.938,18.9434111167538,18.93580002745,1.9876590953785,3.80382964423982,FALSE
60,15,20190610,2019,53.6775,-55.5528,145.9,3.34,18.7528047406878,18.7527817325958,1.99618151140562,1.80584813028809,FALSE
61,15,20190610,2019,53.6775,-55.5528,123.5,3.391,18.8465828392136,18.8432258387273,1.99199263359192,1.95722161126407,FALSE
64,15,20190610,2019,53.6775,-55.5528,100.4,3.579,19.4055679972949,19.3952022358961,1.96776206785384,2.59608767398664,FALSE
69,15,20190610,2019,53.6775,-55.5528,49.2,3.386,18.8416878932575,18.8414267069731,1.99230273918084,1.94239205481484,FALSE
74,15,20190610,2019,53.6775,-55.5528,19.7,3.776,19.6331260296661,19.6036554588551,1.95754898486415,3.30676409444861,FALSE
79,15,20190610,2019,53.6775,-55.5528,3.4,3.974,19.1391115452069,19.1327439321654,1.9792622792796,3.97897857446481,FALSE
80,19,20190610,2019,53.7937,-55.4368,195.1,3.338,18.6671573956407,18.6669395337994,1.99991960947274,1.79045913151357,FALSE
82,19,20190610,2019,53.7937,-55.4368,148.8,3.304,18.831563398611,18.8307766958186,1.99272644865253,1.71943832646339,FALSE
86,19,20190610,2019,53.7937,-55.4368,100.2,3.567,19.3801219578721,19.3543090143747,1.96835810185392,2.5556559185081,FALSE
91,19,20190610,2019,53.7937,-55.4368,50.1,3.552,18.9779822397556,18.970415599295,1.98616519129459,2.45183864815351,FALSE
102,23,20190610,2019,53.9868,-55.2517,137.9,3.296,18.798723849264,18.7985950818408,1.99417636416511,1.69474477881838,FALSE
103,23,20190610,2019,53.9868,-55.2517,139.4,3.342,18.7170010981162,18.7153473491562,1.99769377585946,1.80715922426299,FALSE
105,23,20190610,2019,53.9868,-55.2517,100.3,3.25,18.624086863135,18.6231118748909,2.001783865144,1.55804351931485,FALSE
108,23,20190610,2019,53.9868,-55.2517,49.5,3.368,18.7679154223894,18.7660905661095,1.99546567087279,1.88385048463269,FALSE
111,23,20190610,2019,53.9868,-55.2517,20,3.794,19.4169488657951,19.4121532287646,1.96745377739143,3.33627110332562,FALSE
114,23,20190610,2019,53.9868,-55.2517,3.6,3.747,19.365817358393,19.3643103658514,1.96972884118886,3.1586927719419,FALSE
115,27,20190610,2019,54.2192,-55.0242,159.5,3.527,19.2544093698643,19.2536680990311,1.97450129813004,2.4102522193079,FALSE
116,27,20190610,2019,54.2192,-55.0242,140.9,3.441,19.0875596141008,19.0870988937308,1.98166326770377,2.12966369822904,FALSE
119,27,20190610,2019,54.2192,-55.0242,99.8,3.49,19.0089490692748,19.0084096384893,1.98504844348029,2.26487918747109,FALSE
124,27,20190610,2019,54.2192,-55.0242,50.7,3.744,19.3896116128044,19.3885433198544,1.96873131258233,3.15157891252567,FALSE
159,54,20190611,2019,55.6127,-53.6402,2934,1.819,19.1716712241024,14.3605092575044,1.81899999909329,8.22115044147363e-19,TRUE
160,54,20190611,2019,55.6127,-53.6402,2881.1,1.764,19.8188726634138,14.1975054696883,1.76399999895701,1.08783722987571e-18,TRUE
161,54,20190611,2019,55.6127,-53.6402,2800,1.572,22.2653065740202,13.831953188716,1.57199999910495,8.01110191225534e-19,TRUE
163,54,20190611,2019,55.6127,-53.6402,2520.6,1.234,26.3624620430956,11.9244464847812,1.23399999923459,5.85853083070793e-19,TRUE
164,54,20190611,2019,55.6127,-53.6402,2422.1,1.178,27.0740448078454,11.5689984474836,1.17800002363403,5.58567398167564e-16,TRUE
165,54,20190611,2019,55.6127,-53.6402,2269.6,1.124,27.767552766028,11.2129594932618,1.12400000151227,2.28695342843055e-18,TRUE
166,54,20190611,2019,55.6127,-53.6402,2000.2,1.062,28.5722966729792,10.7876171102875,1.06199999932661,4.53457993729114e-19,TRUE
167,54,20190611,2019,55.6127,-53.6402,1849.1,1.417,24.0966934763537,12.9960939683384,1.4169999875868,1.54087556871985e-16,TRUE
170,54,20190611,2019,55.6127,-53.6402,1379.4,1.903,18.1880208381123,14.5826350380085,1.90299999925728,5.51640084825552e-19,TRUE
171,54,20190611,2019,55.6127,-53.6402,1179.4,2.051,16.4495574899242,14.8640829205177,2.0509999994098,3.4833328792078e-19,TRUE
172,54,20190611,2019,55.6127,-53.6402,990.1,1.88,18.4570219252879,14.5252897491844,1.87999999922177,6.05636632041462e-19,TRUE
173,54,20190611,2019,55.6127,-53.6402,809.3,2.331,16.1811636877622,16.1811192479693,2.11494213650287,0.0466810003789441,FALSE
174,54,20190611,2019,55.6127,-53.6402,640.5,2.454,15.5305568998001,15.5304819026676,2.14723710362305,0.0941034745935737,FALSE
176,54,20190611,2019,55.6127,-53.6402,349.4,2.577,15.6837431887768,15.683154698599,2.1395282404886,0.19138154037,FALSE
177,54,20190611,2019,55.6127,-53.6402,220.4,2.757,16.7317395393964,16.7310088151859,2.08833697813927,0.447110236803921,FALSE
178,54,20190611,2019,55.6127,-53.6402,100.4,3.025,17.6603574689731,17.6601043814762,2.04498306486906,0.960433193143446,FALSE
179,54,20190611,2019,55.6127,-53.6402,49.7,3.053,17.7837010215804,17.7817857666709,2.03930321216176,1.02758117767358,FALSE
180,54,20190611,2019,55.6127,-53.6402,30.3,2.582,15.7071116497677,15.7067149241416,2.13836565283654,0.196811433983152,FALSE
181,54,20190611,2019,55.6127,-53.6402,9.6,3.025,17.6603574689731,17.6601043814762,2.04498306486906,0.960433193143446,FALSE
182,54,20190611,2019,55.6127,-53.6402,4.1,3.445,19.001942039757,19.0012447799108,1.9853459922054,2.13058982247083,FALSE
183,64,20190611,2019,55.8445,-53.3913,3157.2,1.94,17.7543690382213,14.6664525573297,1.93999999929855,4.92031180871737e-19,TRUE
184,64,20190611,2019,55.8445,-53.3913,3099.5,1.94,17.7543690382213,14.6664525573297,1.93999999929855,4.92031180871737e-19,TRUE
185,64,20190611,2019,55.8445,-53.3913,3021.7,1.777,19.6657489305947,14.2375869366135,1.77699999899176,1.01653970905749e-18,TRUE
186,64,20190611,2019,55.8445,-53.3913,2921.4,1.446,23.7471292012066,13.155386876491,1.44599997185151,7.92337213332369e-16,TRUE
187,64,20190611,2019,55.8445,-53.3913,2810.5,1.385,24.4856982352755,12.8175617981007,1.38499999510637,2.3947655336549e-17,TRUE
188,64,20190611,2019,55.8445,-53.3913,2690.6,1.171,27.1635443766254,11.523589455839,1.17100001772882,3.14310884235247e-16,TRUE
189,64,20190611,2019,55.8445,-53.3913,2561.2,1.174,27.1251726542666,11.5430773619243,1.17400002008082,4.03239363358091e-16,TRUE
190,64,20190611,2019,55.8445,-53.3913,2409,1.173,27.1379607708273,11.5365858820781,1.17300001926857,3.71277955234242e-16,TRUE
191,64,20190611,2019,55.8445,-53.3913,2231.6,1.111,27.9355501881713,11.1252563770467,1.11100000040877,1.67095559680977e-19,TRUE
192,64,20190611,2019,55.8445,-53.3913,2009,1.331,25.1494013117311,12.5084492936829,1.33099999865112,1.81948835708908e-18,TRUE
194,64,20190611,2019,55.8445,-53.3913,1549.6,2.22,15.1639424237458,15.1637031266421,2.1658699406833,0.00293006332162958,FALSE
195,64,20190611,2019,55.8445,-53.3913,1310.2,2.752,16.7083981349956,16.7072766178653,2.08943814881769,0.438988206642132,FALSE
196,64,20190611,2019,55.8445,-53.3913,1090.3,2.596,15.8209157949614,15.8208707880038,2.13270367757982,0.214643482368063,FALSE
197,64,20190611,2019,55.8445,-53.3913,889.3,2.85,16.8836973403927,16.8835019240924,2.08113324258961,0.591156090650769,FALSE
198,64,20190611,2019,55.8445,-53.3913,710.8,2.903,16.7337332503886,16.7334609249355,2.08825640870025,0.663807119564007,FALSE
199,64,20190611,2019,55.8445,-53.3913,550.1,3.006,17.3708641099906,17.3704015661512,2.05830487541976,0.898126049153153,FALSE
200,64,20190611,2019,55.8445,-53.3913,398.7,3.047,17.8250883870723,17.8245646270956,2.03746565882138,1.01915958601895,FALSE
201,64,20190611,2019,55.8445,-53.3913,289,2.946,17.1401919855329,17.1399481857683,2.06905508605456,0.769032382094773,FALSE
202,64,20190611,2019,55.8445,-53.3913,189.1,3.104,18.0515517971779,18.0509305475587,2.02722761208211,1.1594387753824,FALSE
203,64,20190611,2019,55.8445,-53.3913,99.6,2.975,17.2690635699051,17.2473830259434,2.06236230280985,0.832907566332531,FALSE
205,64,20190611,2019,55.8445,-53.3913,25.6,3.271,18.6962552259443,18.6956980705822,1.99863533987745,1.61891182832877,FALSE
206,64,20190611,2019,55.8445,-53.3913,5.1,3.541,19.2881723831379,19.2874882764841,1.97306170066875,2.45843051050978,FALSE
231,91,20190612,2019,56.5367,-52.6785,3538.1,2.077,16.150189138648,14.9164693763713,2.07699999934956,4.23070650654402e-19,TRUE
232,91,20190612,2019,56.5367,-52.6785,3460.8,1.865,18.6324150068979,14.4861203231982,1.86499999919363,6.50228053556841e-19,TRUE
233,91,20190612,2019,56.5367,-52.6785,3381.8,1.736,20.1496388127064,14.1091377474621,1.7359999988962,1.21836891625514e-18,TRUE
234,91,20190612,2019,56.5367,-52.6785,3281.6,1.398,24.3272631784902,12.890471780863,1.39799999286915,5.08490457807004e-17,TRUE
235,91,20190612,2019,56.5367,-52.6785,3159.6,1.276,25.8340827262706,12.1821057191673,1.27599999917341,6.83247204607534e-19,TRUE
236,91,20190612,2019,56.5367,-52.6785,3030.6,1.195,26.8571934938093,11.6783659870142,1.19500004561412,2.08064766312581e-15,TRUE
237,91,20190612,2019,56.5367,-52.6785,2859.9,1.312,25.3849703845595,12.3970872450957,1.31199999895697,1.08791967793e-18,TRUE
238,91,20190612,2019,56.5367,-52.6785,2662.4,1.031,28.977939113728,10.5681686637723,1.03099999928424,5.12309685545115e-19,TRUE
239,91,20190612,2019,56.5367,-52.6785,2440.4,1.052,28.7029160088588,10.7173253380816,1.05199999930078,4.88909250718202e-19,TRUE
240,91,20190612,2019,56.5367,-52.6785,2210,1.063,28.5592470747632,10.7946202933168,1.06299999933038,4.48395291237369e-19,TRUE
241,91,20190612,2019,56.5367,-52.6785,1970.9,1.246,26.2110225333987,11.9988316738541,1.24599999922468,6.01118395051736e-19,TRUE
242,91,20190612,2019,56.5367,-52.6785,1728.5,2.092,15.9779632572092,14.9463309994641,2.09199999931779,4.65406635947461e-19,TRUE
243,91,20190612,2019,56.5367,-52.6785,1499.7,2.16,15.2028693590025,15.0801406802622,2.15999999914433,7.32167693562523e-19,TRUE
244,91,20190612,2019,56.5367,-52.6785,1280.8,2.329,16.1443158239137,16.1441127203921,2.11674029360501,0.0450541829588878,FALSE
245,91,20190612,2019,56.5367,-52.6785,1069.6,2.5,16.1738465062301,16.1734804552924,2.1152897952111,0.148001941668714,FALSE
246,91,20190612,2019,56.5367,-52.6785,871,2.424,15.0583305553895,15.0566156048873,2.17125302218684,0.0638810347936884,FALSE
247,91,20190612,2019,56.5367,-52.6785,681,2.589,15.6818296472633,15.6815070103238,2.13963239883492,0.201931240976858,FALSE
248,91,20190612,2019,56.5367,-52.6785,510.6,2.553,15.539349677159,15.5390568138703,2.14678716380363,0.165008868290696,FALSE
249,91,20190612,2019,56.5367,-52.6785,360.3,2.716,16.5428944977341,16.535110612157,2.0971569117971,0.382966767816498,FALSE
250,91,20190612,2019,56.5367,-52.6785,219.5,2.999,17.3611300629031,17.3604152783233,2.05874804143956,0.884073745576751,FALSE
251,91,20190612,2019,56.5367,-52.6785,99.4,3.02,17.6383271578878,17.6374364669706,2.04597126352213,0.948731979484671,FALSE
