,match_year,Year,SF6NH,X.1,X,MeanTemp,MeanSal,MeanSal_filled,MeanTemp_filled,temp_was_na,sal_was_na
1,1953.458333,1953.5,0.042,6,6,6.084165398,NA,34.74249935,6.084165398,FALSE,TRUE
2,1954.458333,1954.5,0.043,18,18,4.955067173,NA,34.74249935,4.955067173,FALSE,TRUE
3,1955.458333,1955.5,0.043,30,30,5.46894074,NA,34.74249935,5.46894074,FALSE,TRUE
4,1956.458333,1956.5,0.044,42,42,6.384135495,NA,34.74249935,6.384135495,FALSE,TRUE
5,1957.458333,1957.5,0.046,54,54,6.893972041,NA,34.74249935,6.893972041,FALSE,TRUE
6,1958.458333,1958.5,0.048,66,66,5.399732255,NA,34.74249935,5.399732255,FALSE,TRUE
7,1959.458333,1959.5,0.051,78,78,5.10076738,NA,34.74249935,5.10076738,FALSE,TRUE
8,1960.458333,1960.5,0.055,90,6,4.914535487,NA,34.74249935,4.914535487,FALSE,TRUE
9,1961.458333,1961.5,0.061,102,18,6.311428107,NA,34.74249935,6.311428107,FALSE,TRUE
10,1962.458333,1962.5,0.068,114,30,4.65159427,NA,34.74249935,4.65159427,FALSE,TRUE
11,1963.458333,1963.5,0.078,126,42,5.310431517,NA,34.74249935,5.310431517,FALSE,TRUE
12,1964.458333,1964.5,0.091,138,54,5.948094074,NA,34.74249935,5.948094074,FALSE,TRUE
13,1965.458333,1965.5,0.109,150,66,6.027500033,34.74249935,34.74249935,6.027500033,FALSE,FALSE
14,1966.458333,1966.5,0.131,162,78,5.669676497,34.7270001,34.7270001,5.669676497,FALSE,FALSE
15,1967.458333,1967.5,0.155,174,90,5.319159218,34.78471429,34.78471429,5.319159218,FALSE,FALSE
16,1968.458333,1968.5,0.181,186,102,4.455718729,34.58533335,34.58533335,4.455718729,FALSE,FALSE
17,1969.458333,1969.5,0.207,198,114,4.894143737,34.46446299,34.46446299,4.894143737,FALSE,FALSE
18,1970.458333,1970.5,0.235,210,6,4.047477782,34.29882349,34.29882349,4.047477782,FALSE,FALSE
19,1971.458333,1971.5,0.266,222,18,4.050666666,34.12440008,34.12440008,4.050666666,FALSE,FALSE
20,1972.458333,1972.5,0.301,234,30,3.687073161,34.43829281,34.43829281,3.687073161,FALSE,FALSE
21,1973.458333,1973.5,0.341,246,42,5.057093918,34.5791852,34.5791852,5.057093918,FALSE,FALSE
22,1974.458333,1974.5,0.386,258,54,4.531254179,34.61237431,34.61237431,4.531254179,FALSE,FALSE
23,1975.458333,1975.5,0.438,270,66,NA,NA,34.62155809,4.726244798,TRUE,TRUE
24,1976.458333,1976.5,0.501,282,78,NA,NA,34.63074187,4.921235418,TRUE,TRUE
25,1977.458333,1977.5,0.579,294,90,5.116226037,NA,34.63992565,5.116226037,FALSE,TRUE
26,1978.458333,1978.5,0.665,306,102,NA,NA,34.64910943,5.052672502,TRUE,TRUE
27,1979.458333,1979.5,0.766,318,114,NA,NA,34.65829321,4.989118966,TRUE,TRUE
28,1980.458333,1980.5,0.887,330,6,NA,NA,34.66747699,4.925565431,TRUE,TRUE
29,1981.458333,1981.5,1.011,342,18,NA,NA,34.67666077,4.862011895,TRUE,TRUE
30,1982.458333,1982.5,1.141,354,30,NA,NA,34.68584455,4.798458359,TRUE,TRUE
31,1983.458333,1983.5,1.273,366,42,NA,NA,34.69502833,4.734904824,TRUE,TRUE
32,1984.458333,1984.5,1.409,378,54,NA,NA,34.70421211,4.671351288,TRUE,TRUE
33,1985.458333,1985.5,1.562,390,66,NA,NA,34.71339589,4.607797753,TRUE,TRUE
34,1986.458333,1986.5,1.722,402,78,NA,NA,34.72257968,4.544244217,TRUE,TRUE
35,1987.458333,1987.5,1.892,414,90,NA,NA,34.73176346,4.480690682,TRUE,TRUE
36,1988.458333,1988.5,2.063,426,102,4.417137146,NA,34.74094724,4.417137146,FALSE,TRUE
37,1989.458333,1989.5,2.237,438,114,NA,NA,34.75013102,4.223435216,TRUE,TRUE
38,1990.458333,1990.5,2.427,450,6,NA,NA,34.7593148,4.029733286,TRUE,TRUE
39,1991.458333,1991.5,2.64,462,18,NA,NA,34.76849858,3.836031356,TRUE,TRUE
40,1992.458333,1992.5,2.868,474,30,3.642329426,34.77768236,34.77768236,3.642329426,FALSE,FALSE
41,1993.458333,1993.5,3.104,486,42,3.754433393,34.31796646,34.31796646,3.754433393,FALSE,FALSE
42,1994.458333,1994.5,3.35,498,54,3.618666649,33.98008716,33.98008716,3.618666649,FALSE,FALSE
43,1994.958333,1995,3.531,504,60,3.268428564,NA,34.26168206,3.268428564,FALSE,TRUE
44,1995.041667,1995.083333,3.47,505,61,2.664000034,NA,34.30861436,2.664000034,FALSE,TRUE
45,1995.208333,1995.166667,3.51,507,63,2.687999964,NA,34.35554722,2.687999964,FALSE,TRUE
46,1995.208333,1995.25,3.552,507,63,2.687999964,NA,34.40247952,2.687999964,FALSE,TRUE
47,1995.291667,1995.333333,3.566,508,64,2.644999981,NA,34.44941181,2.644999981,FALSE,TRUE
48,1995.458333,1995.416667,3.61,510,66,4.712266684,34.49634467,34.49634467,4.712266684,FALSE,FALSE
49,1995.458333,1995.5,3.58,510,66,4.712266684,34.49634467,34.49634467,4.712266684,FALSE,FALSE
50,1995.541667,1995.583333,3.644,511,67,5.900500011,34.52474976,34.52474976,5.900500011,FALSE,FALSE
51,1995.708333,1995.666667,3.669,513,69,5.248500109,34.51625061,34.51625061,5.248500109,FALSE,FALSE
52,1995.708333,1995.75,3.636,513,69,5.248500109,34.51625061,34.51625061,5.248500109,FALSE,FALSE
53,1995.791667,1995.833333,3.662,514,70,5.112499952,34.5217495,34.5217495,5.112499952,FALSE,FALSE
54,1995.958333,1995.916667,3.707,516,72,NA,NA,34.56879177,4.767747187,TRUE,TRUE
55,1995.958333,1996,3.737,516,72,NA,NA,34.61583347,4.422998559,TRUE,TRUE
56,1996.041667,1996.083333,3.741,517,73,NA,NA,34.66287518,4.078249931,TRUE,TRUE
57,1996.208333,1996.166667,3.815,519,75,NA,NA,34.70991744,3.733497166,TRUE,TRUE
58,1996.208333,1996.25,3.847,519,75,NA,NA,34.75695915,3.388748538,TRUE,TRUE
59,1996.291667,1996.333333,3.811,520,76,3.04399991,34.80400085,34.80400085,3.04399991,FALSE,FALSE
60,1996.458333,1996.416667,3.802,522,78,4.647249997,34.50174904,34.50174904,4.647249997,FALSE,FALSE
61,1996.458333,1996.5,3.832,522,78,4.647249997,34.50174904,34.50174904,4.647249997,FALSE,FALSE
62,1996.541667,1996.583333,3.856,523,79,5.896333377,34.50766627,34.50766627,5.896333377,FALSE,FALSE
63,1996.708333,1996.666667,3.848,525,81,NA,NA,34.40382435,5.655178651,TRUE,TRUE
64,1996.708333,1996.75,3.866,525,81,NA,NA,34.29998368,5.414026819,TRUE,TRUE
65,1996.791667,1996.833333,3.877,526,82,5.172874987,34.19614301,34.19614301,5.172874987,FALSE,FALSE
66,1996.958333,1996.916667,3.914,528,84,3.566100025,34.59550056,34.59550056,3.566100025,FALSE,FALSE
67,1996.958333,1997,3.951,528,84,3.566100025,34.59550056,34.59550056,3.566100025,FALSE,FALSE
68,1997.041667,1997.083333,3.983,529,85,2.980611093,34.69938893,34.69938893,2.980611093,FALSE,FALSE
69,1997.208333,1997.166667,3.981,531,87,2.816405419,34.7632633,34.7632633,2.816405419,FALSE,FALSE
70,1997.208333,1997.25,4.007,531,87,2.816405419,34.7632633,34.7632633,2.816405419,FALSE,FALSE
71,1997.291667,1997.333333,4.069,532,88,2.92809525,34.73437595,34.73437595,2.92809525,FALSE,FALSE
72,1997.458333,1997.416667,4.115,534,90,5.569468423,34.64950848,34.64950848,5.569468423,FALSE,FALSE
73,1997.458333,1997.5,4.148,534,90,5.569468423,34.64950848,34.64950848,5.569468423,FALSE,FALSE
74,1997.541667,1997.583333,4.123,535,91,7.53435913,34.51267471,34.51267471,7.53435913,FALSE,FALSE
75,1997.708333,1997.666667,4.162,537,93,8.645076972,34.30669227,34.30669227,8.645076972,FALSE,FALSE
76,1997.708333,1997.75,4.167,537,93,8.645076972,34.30669227,34.30669227,8.645076972,FALSE,FALSE
77,1997.791667,1997.833333,4.185,538,94,7.092666745,34.35409966,34.35409966,7.092666745,FALSE,FALSE
78,1997.958333,1997.916667,4.23,540,96,4.102214319,34.57029991,34.57029991,4.102214319,FALSE,FALSE
79,1997.958333,1998,4.247,540,96,4.102214319,34.57029991,34.57029991,4.102214319,FALSE,FALSE
80,1998.041667,1998.083333,4.252,541,97,3.18165383,34.55556679,34.55556679,3.18165383,FALSE,FALSE
81,1998.208333,1998.166667,4.26,543,99,2.942015153,34.75435009,34.75435009,2.942015153,FALSE,FALSE
82,1998.208333,1998.25,4.278,543,99,2.942015153,34.75435009,34.75435009,2.942015153,FALSE,FALSE
83,1998.291667,1998.333333,4.306,544,100,3.235860442,34.79519978,34.79519978,3.235860442,FALSE,FALSE
84,1998.458333,1998.416667,4.339,546,102,5.389163193,34.66499211,34.66499211,5.389163193,FALSE,FALSE
85,1998.458333,1998.5,4.332,546,102,5.389163193,34.66499211,34.66499211,5.389163193,FALSE,FALSE
86,1998.541667,1998.583333,4.316,547,103,6.41839446,34.62821175,34.62821175,6.41839446,FALSE,FALSE
87,1998.708333,1998.666667,4.344,549,105,8.676249941,34.08300018,34.08300018,8.676249941,FALSE,FALSE
88,1998.708333,1998.75,4.373,549,105,8.676249941,34.08300018,34.08300018,8.676249941,FALSE,FALSE
89,1998.791667,1998.833333,4.387,550,106,7.081611077,34.23285689,34.23285689,7.081611077,FALSE,FALSE
90,1998.958333,1998.916667,4.397,552,108,4.039923118,34.80149968,34.80149968,4.039923118,FALSE,FALSE
91,1998.958333,1999,4.421,552,108,4.039923118,34.80149968,34.80149968,4.039923118,FALSE,FALSE
92,1999.041667,1999.083333,4.43,553,109,3.310058818,33.67800045,33.67800045,3.310058818,FALSE,FALSE
93,1999.208333,1999.166667,4.443,555,111,2.678588233,33.77370033,33.77370033,2.678588233,FALSE,FALSE
94,1999.208333,1999.25,4.452,555,111,2.678588233,33.77370033,33.77370033,2.678588233,FALSE,FALSE
95,1999.291667,1999.333333,4.468,556,112,3.418588232,33.8828184,33.8828184,3.418588232,FALSE,FALSE
96,1999.458333,1999.416667,4.479,558,114,4.633142795,34.61533229,34.61533229,4.633142795,FALSE,FALSE
97,1999.458333,1999.5,4.49,558,114,4.633142795,34.61533229,34.61533229,4.633142795,FALSE,FALSE
98,1999.541667,1999.583333,4.488,559,115,6.733569345,34.53411032,34.53411032,6.733569345,FALSE,FALSE
99,1999.708333,1999.666667,4.501,561,117,7.685499907,NA,34.52308262,7.685499907,FALSE,TRUE
100,1999.708333,1999.75,4.518,561,117,7.685499907,NA,34.51205505,7.685499907,FALSE,TRUE
101,1999.791667,1999.833333,4.546,562,118,NA,NA,34.50102747,5.438430109,TRUE,TRUE
102,1999.958333,1999.916667,4.579,564,120,3.191333347,34.48999977,34.48999977,3.191333347,FALSE,FALSE
103,1999.958333,2000,4.614,564,120,3.191333347,34.48999977,34.48999977,3.191333347,FALSE,FALSE
104,2000.041667,2000.083333,4.619,565,1,2.742312521,34.68600082,34.68600082,2.742312521,FALSE,FALSE
105,2000.208333,2000.166667,4.621,567,3,2.909599972,NA,34.72100095,2.909599972,FALSE,TRUE
106,2000.208333,2000.25,4.647,567,3,2.909599972,NA,34.75600066,2.909599972,FALSE,TRUE
107,2000.291667,2000.333333,4.669,568,4,3.04400003,34.79100037,34.79100037,3.04400003,FALSE,FALSE
108,2000.458333,2000.416667,4.685,570,6,4.165960014,34.68562733,34.68562733,4.165960014,FALSE,FALSE
109,2000.458333,2000.5,4.695,570,6,4.165960014,34.68562733,34.68562733,4.165960014,FALSE,FALSE
110,2000.541667,2000.583333,4.708,571,7,6.484250009,NA,35.84630669,6.484250009,FALSE,TRUE
111,2000.708333,2000.666667,4.714,573,9,7.984166622,37.00699997,37.00699997,7.984166622,FALSE,FALSE
112,2000.708333,2000.75,4.74,573,9,7.984166622,37.00699997,37.00699997,7.984166622,FALSE,FALSE
113,2000.791667,2000.833333,4.76,574,10,5.659875035,33.65233358,33.65233358,5.659875035,FALSE,FALSE
114,2000.958333,2000.916667,4.784,576,12,3.108999968,31.40899944,31.40899944,3.108999968,FALSE,FALSE
115,2000.958333,2001,4.802,576,12,3.108999968,31.40899944,31.40899944,3.108999968,FALSE,FALSE
116,2001.041667,2001.083333,4.818,577,13,2.589833319,33.10639954,33.10639954,2.589833319,FALSE,FALSE
117,2001.208333,2001.166667,4.828,579,15,2.969199944,33.38680038,33.38680038,2.969199944,FALSE,FALSE
118,2001.208333,2001.25,4.857,579,15,2.969199944,33.38680038,33.38680038,2.969199944,FALSE,FALSE
119,2001.291667,2001.333333,4.886,580,16,2.903571435,32.9564991,32.9564991,2.903571435,FALSE,FALSE
120,2001.458333,2001.416667,4.901,582,18,5.6159091,34.61292106,34.61292106,5.6159091,FALSE,FALSE
121,2001.458333,2001.5,4.902,582,18,5.6159091,34.61292106,34.61292106,5.6159091,FALSE,FALSE
122,2001.541667,2001.583333,4.9,583,19,6.771499872,34.59199905,34.59199905,6.771499872,FALSE,FALSE
123,2001.708333,2001.666667,4.911,585,21,8.355923789,34.45600128,34.45600128,8.355923789,FALSE,FALSE
124,2001.708333,2001.75,4.942,585,21,8.355923789,34.45600128,34.45600128,8.355923789,FALSE,FALSE
125,2001.791667,2001.833333,4.965,586,22,5.849999905,NA,34.48115288,5.849999905,FALSE,TRUE
126,2001.958333,2001.916667,4.994,588,24,NA,NA,34.50630477,5.847161003,TRUE,TRUE
127,2001.958333,2002,5.017,588,24,NA,NA,34.53145637,5.844322136,TRUE,TRUE
128,2002.041667,2002.083333,5.031,589,25,NA,NA,34.55660797,5.841483269,TRUE,TRUE
129,2002.208333,2002.166667,5.053,591,27,NA,NA,34.58175986,5.838644368,TRUE,TRUE
130,2002.208333,2002.25,5.067,591,27,NA,NA,34.60691146,5.835805501,TRUE,TRUE
131,2002.291667,2002.333333,5.094,592,28,NA,NA,34.63206306,5.832966633,TRUE,TRUE
132,2002.458333,2002.416667,5.11,594,30,NA,NA,34.65721495,5.830127732,TRUE,TRUE
133,2002.458333,2002.5,5.122,594,30,NA,NA,34.68236655,5.827288865,TRUE,TRUE
134,2002.541667,2002.583333,5.122,595,31,5.824449998,34.70751814,34.70751814,5.824449998,FALSE,FALSE
135,2002.708333,2002.666667,5.125,597,33,7.872833331,34.54569944,34.54569944,7.872833331,FALSE,FALSE
136,2002.708333,2002.75,5.151,597,33,7.872833331,34.54569944,34.54569944,7.872833331,FALSE,FALSE
137,2002.791667,2002.833333,5.18,598,34,5.89279995,34.59613266,34.59613266,5.89279995,FALSE,FALSE
138,2002.958333,2002.916667,5.213,600,36,3.876677752,34.64864392,34.64864392,3.876677752,FALSE,FALSE
139,2002.958333,2003,5.234,600,36,3.876677752,34.64864392,34.64864392,3.876677752,FALSE,FALSE
140,2003.041667,2003.083333,5.253,601,37,NA,NA,34.71682147,3.4128416,TRUE,TRUE
141,2003.208333,2003.166667,5.272,603,39,2.948999882,34.78499985,34.78499985,2.948999882,FALSE,FALSE
142,2003.208333,2003.25,5.296,603,39,2.948999882,34.78499985,34.78499985,2.948999882,FALSE,FALSE
143,2003.291667,2003.333333,5.326,604,40,NA,NA,34.764125,4.356116495,TRUE,TRUE
144,2003.458333,2003.416667,5.358,606,42,5.763249993,34.74324989,34.74324989,5.763249993,FALSE,FALSE
145,2003.458333,2003.5,5.37,606,42,5.763249993,34.74324989,34.74324989,5.763249993,FALSE,FALSE
146,2003.541667,2003.583333,5.373,607,43,9.15047031,34.60921377,34.60921377,9.15047031,FALSE,FALSE
147,2003.708333,2003.666667,5.388,609,45,9.259816753,34.57855564,34.57855564,9.259816753,FALSE,FALSE
148,2003.708333,2003.75,5.41,609,45,9.259816753,34.57855564,34.57855564,9.259816753,FALSE,FALSE
149,2003.791667,2003.833333,5.431,610,46,7.61500001,34.63000107,34.63000107,7.61500001,FALSE,FALSE
150,2003.958333,2003.916667,5.463,612,48,4.009999871,34.76550102,34.76550102,4.009999871,FALSE,FALSE
151,2003.958333,2004,5.477,612,48,4.009999871,34.76550102,34.76550102,4.009999871,FALSE,FALSE
152,2004.041667,2004.083333,5.491,613,49,3.736674414,34.83419952,34.83419952,3.736674414,FALSE,FALSE
153,2004.208333,2004.166667,5.507,615,51,3.399588876,34.86391068,34.86391068,3.399588876,FALSE,FALSE
154,2004.208333,2004.25,5.538,615,51,3.399588876,34.86391068,34.86391068,3.399588876,FALSE,FALSE
155,2004.291667,2004.333333,5.554,616,52,3.625500023,34.82055569,34.82055569,3.625500023,FALSE,FALSE
156,2004.458333,2004.416667,5.574,618,54,4.763066769,34.81297938,34.81297938,4.763066769,FALSE,FALSE
157,2004.458333,2004.5,5.583,618,54,4.763066769,34.81297938,34.81297938,4.763066769,FALSE,FALSE
